provincia,anio_inicio,anio_fin,caso,actores,tipo_tierra,mecanismo,detalle,estado_judicial,fuente
Buenos Aires,1940,1940,El Palomar,"Legisladores, funcionarios nacionales, militares","Tierras militares / públicas","Venta con sobreprecios","Escándalo político por venta de tierras destinadas a ampliación militar","Investigado / escándalo político","Prensa histórica y reconstrucción periodística"
Buenos Aires,1930,1939,"Década Infame y activos públicos","Gobierno nacional, élites políticas y económicas","Activos estatales","Negocios irregulares / corrupción","Contexto político útil para enmarcar la venta de tierras y otros negocios públicos","Marco histórico","Síntesis histórica"
Santa Fe,1890,1900,"Escándalos de prensa sobre corrupción","Élites políticas provinciales, actores económicos","Bienes públicos / redes políticas","Maniobras financieras y políticas","Antecedente útil para ver cómo la prensa retrata escándalos de poder y territorio","Marco histórico","Artículo académico sobre prensa y corrupción"
Entre Ríos,1823,1830,"Primeras disposiciones sobre baldíos","Gobierno provincial, poseedores, antiguos dueños","Tierras baldías / públicas","Registro, posesión, adjudicación","Leyes que habilitaron a disponer de tierras abandonadas por persecuciones políticas y reconocer derechos posesorios","Marco legal","Estudio histórico"
Entre Ríos,1861,1861,"Arreglo de la tierra pública","Legislatura provincial, gobernador Luis J. de la Peña","Tierra pública de pastoreo","Venta autorizada","La ley permitió vender 400 leguas de tierras de pastoreo reconocidas como públicas","Marco legal","Estudio histórico"
Entre Ríos,1875,1875,"Venta y titulación de campos de pastoreo","Provincia, poseedores legales","Campos de pastoreo","Titulación / venta","Se unificó el título de propiedad para campos de pastoreo y posesiones legales previas","Marco legal","Estudio histórico"
Entre Ríos,1883,1883,"Venta en remate público","Provincia, poseedores y arrendatarios","Tierra fiscal","Remate y compra preferencial","La tierra fiscal solo podía venderse en remate y al mejor postor, con ventajas para algunos poseedores","Marco legal","Estudio histórico"
Entre Ríos,1900,1999,"Alianza de élites y desplazamiento de pueblos","Comerciantes, militares, banqueros, políticos","Tierras rurales","Registro y apropiación","Red para desplazar pueblos y registrar tierras, clave para el poder terrateniente provincial","Proceso histórico","Divulgación histórica"
Entre Ríos,1900,1999,"Formación y consolidación de latifundios","Élites agrarias y políticas","Grandes extensiones rurales","Concentración de propiedad","La estructura de la provincia favoreció la concentración de tierra a largo plazo","Proceso estructural","Estudio histórico"
Entre Ríos,2020,2020,"Conflicto Etchevehere / Proyecto Artigas","Familia Etchevehere, Dolores Etchevehere, militantes del Proyecto Artigas","Estancia privada","Disputa familiar y política","Conflicto por herencia y control territorial del agro entrerriano","Judicial en conflicto / disputa civil-penal","Prensa y cobertura judicial"
Entre Ríos,2020,2020,"Causa Etchevehere por usurpación y daño","Luis Etchevehere, Juan Diego Etchevehere","Estancia privada","Ocupación / litigio","La justicia de Paraná falló en primera instancia contra integrantes del clan por usurpación y daño","Condena en primera instancia","Prensa judicial"
Entre Ríos,1900,1999,"Terratenencia histórica del clan Etchevehere","Familia Etchevehere","Estancias rurales","Herencia, propiedad y control económico","Apellido integrado a una larga historia de poder agrario en la provincia","Mixto / histórico","Prensa e historia familiar"
Chaco,1870,1950,"Política de tierras fiscales","Estado nacional, oficinas de tierras, colonos","Tierra fiscal","Distribución, colonización, adjudicación","Proceso central para ocupar el territorio y expandir la frontera agrícola","Alto","Estudios académicos sobre tierras fiscales"
Chaco,1946,1955,"Colonización del suelo fiscal","Gobierno nacional, administración territorial","Suelo fiscal","Colonización / adjudicación","El peronismo reorganizó la administración y distribución del suelo en el territorio chaqueño","Alto","Repositorio académico"
Chaco,1900,1999,"Acceso ilegal a tierras fiscales","Intermediarios, Estado, ocupantes","Tierras fiscales","Ocupación irregular","Línea de investigación sobre acaparamiento y acceso ilegal a tierras públicas","Alto","Investigación académica"
Chaco,2009,2024,"Tierras fiscales de Güemes","Productor agropecuario, empresa Conexa SA, Instituto de Colonización","Tierras fiscales","Adjudicación y venta irregular","Sentencia que declaró nula la entrega de más de 600 hectáreas de tierras fiscales","Sentencia de nulidad","Litigio"
Chaco,2010,2024,"Adjudicación irregular de tierras fiscales","Exfuncionarios del Colonización","Tierras fiscales","Corrupción administrativa","Exfuncionarios del organismo fueron condenados por corrupción en la adjudicación de tierras fiscales","Condena","Litigio"
Chaco,2025,2026,"Red Capitanich / tierras fiscales","Jorge Capitanich, Marta Soneira, empresarios","Tierras fiscales","Fraude, lavado, abuso de autoridad","Se investiga una red por adjudicación de tierras fiscales y delitos conexos","Imputación","Prensa judicial"
Patagonia,1900,1999,"Concentración de grandes terratenientes","Familias empresarias, grupos económicos, actores políticos","Tierras rurales privadas","Compra / acumulación","Bloque regional para mapear concentración de tierras y vínculos de poder","Alto","Divulgación periodística"
Patagonia,1991,1997,"Gran concentración de tierras","Luciano Benetton y actores locales","Tierras rurales privadas","Compra / acumulación","Acumulación masiva de hectáreas en Patagonia","Alto","Nota histórica divulgativa"
Neuquén,1900,1999,"Ocupación y regularización patagónica","Pobladores, inspectores, administración territorial","Tierras públicas / ocupadas","Ocupación / regularización","Asentamiento de pobladores y mediación estatal en el norte patagónico","Alto","Estudio histórico regional"
Río Negro,1900,1999,"Ocupación y frontera agraria","Pobladores, Estado territorial","Tierras públicas","Ocupación / regularización","Expansión estatal y posterior concentración en la región","Alto","Estudio histórico regional"
Formosa,1870,1950,"Política de tierras fiscales","Estado nacional, colonos","Tierra fiscal","Distribución / colonización","Proceso comparable al chaqueño para ampliar el mapa del noreste","Medio","Estudio de política de tierras"
Mendoza,2023,2023,"Entrega de tierras a mapuches","INAI, empresa Sominar","Grandes extensiones privadas","Medida cautelar / suspensión","Fallo que frenó la transferencia de tierras por cautelar de la empresa propietaria","Medio","Infobae"
Tierra del Fuego,2014,2021,"Letras de Tesorería","Exministros, comerciante, funcionarios","Bienes públicos / fondos estatales","Condena y revisión","El STJ anuló condenas previas por falta de certeza probatoria suficiente","Absolución","La Voz"